Locality;Locality;"COD IBGE";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (2000)";"Per capita income (2010)"
"ZONA CENTRO-SUL (Manaus . RM Manaus)";"Regional Divisions";--;75.45;78.51;18.00;10.44;0.759;0.850;0.825;0.896;0.841;0.892;0.630;0.768;9.53;10.82;1355.19;2114.37
"ZONA LESTE ( Jorge Teixeira. Tancredo Neves. São José Operário. Gilberto Mestrinho. Zumbi dos Palmares. Armando Mendes) (Manaus . RM Manaus)";"Regional Divisions";--;66.63;71.67;40.70;20.90;0.494;0.659;0.562;0.624;0.694;0.778;0.310;0.590;7.38;9.12;264.41;388.42
"ZONA NORTE (Manaus . RM Manaus)";"Regional Divisions";--;67.14;73.04;39.10;18.50;0.555;0.702;0.608;0.674;0.702;0.801;0.401;0.640;7.92;9.75;351.01;531.65
"ZONA OESTE (Ponta Negra. Tarumã. Tarumã-Açu) (Manaus . RM Manaus)";"Regional Divisions";--;72.80;79.26;23.70;9.50;0.583;0.770;0.753;0.924;0.797;0.904;0.330;0.547;7.06;8.40;867.62;2510.57
"ZONA OESTE (Santo Agostinho. Compensa. São Jorge. Vila da Prata. Santo Antônio. São Raimundo. Glória) (Manaus . RM Manaus)";"Regional Divisions";--;68.68;74.66;34.40;15.90;0.603;0.735;0.657;0.721;0.728;0.828;0.459;0.666;8.57;10.21;476.61;708.98
"ZONA SUL (Presidente Vargas. Nossa Senhora Aparecida. Centro. Praça 14 de Janeiro. Cachoeirinha) (Manaus . RM Manaus)";"Regional Divisions";--;72.39;77.23;24.70;12.22;0.687;0.806;0.751;0.796;0.790;0.871;0.546;0.754;8.97;10.39;857.75;1133.62
"ZONA SUL / ZONA LESTE ( Educandos. Santa Luzia. Colônia Oliveira Machado. Morro da Liberdade. São Lázaro. Betânia. Crespo. Vila Buriti. Distrito Industrial I / Mauazinho. Colônia Antônio Aleixo. Distrito Industrial II. Puraquequara ) (Manaus . RM Manaus)";"Regional Divisions";--;67.19;72.65;38.90;18.53;0.555;0.690;0.608;0.666;0.703;0.794;0.399;0.622;7.98;9.38;351.06;503.26
"ZONA SUL / ZONA LESTE( Raiz. Japiim. São Francisco. Petrópolis / Coroado) (Manaus . RM Manaus)";"Regional Divisions";--;69.21;75.06;32.90;15.25;0.620;0.762;0.675;0.730;0.737;0.834;0.480;0.728;8.88;10.39;534.14;753.03
"R.A. LESTE (Natal . RM Natal)";"Regional Divisions";--;72.45;77.26;30.40;12.07;0.719;0.817;0.783;0.857;0.791;0.871;0.599;0.730;10.23;10.46;1042.67;1653.82
"R.A. NORTE (Natal . RM Natal)";"Regional Divisions";--;67.65;72.02;45.62;20.97;0.579;0.696;0.587;0.658;0.711;0.784;0.465;0.654;9.24;10.09;308.11;481.03
"R.A. OESTE (Natal . RM Natal)";"Regional Divisions";--;68.15;72.24;44.30;20.44;0.574;0.687;0.598;0.668;0.719;0.787;0.441;0.616;8.95;9.80;331.48;512.40
"R.A. SUL (Natal . RM Natal)";"Regional Divisions";--;74.86;79.30;23.80;9.55;0.807;0.876;0.832;0.879;0.831;0.905;0.760;0.846;11.09;11.24;1413.42;1905.16
"Expansão Sul (Nova Lima . RM Belo Horizonte)";"Regional Divisions";--;76.41;80.86;15.20;7.70;0.736;0.883;0.856;0.991;0.857;0.931;0.543;0.746;9.63;10.54;1646.46;3820.20
"Sede (Nova Lima . RM Belo Horizonte)";"Regional Divisions";--;73.63;76.88;20.40;12.60;0.674;0.759;0.693;0.738;0.811;0.865;0.544;0.684;9.53;9.69;596.65;789.21
"Centro (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;77.88;80.72;9.90;6.30;0.893;0.935;0.950;0.984;0.881;0.929;0.850;0.894;12.29;11.58;2945.58;3646.91
"Centro Sul (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;73.98;77.06;15.50;10.20;0.742;0.797;0.784;0.817;0.816;0.868;0.638;0.713;11.06;10.59;1049.03;1294.89
"Cristal (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;74.95;78.22;14.00;8.80;0.762;0.809;0.827;0.858;0.833;0.887;0.642;0.695;10.68;9.51;1377.45;1665.45
"Cruzeiro (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;73.44;76.07;16.30;11.40;0.671;0.747;0.764;0.797;0.807;0.851;0.490;0.614;9.09;8.82;928.95;1139.73
"Eixo Baltazar (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;73.23;75.95;16.70;11.50;0.716;0.779;0.754;0.785;0.804;0.849;0.605;0.709;10.69;10.13;871.29;1057.42
"Extremo Sul (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;72.32;75.10;18.30;12.60;0.629;0.714;0.702;0.756;0.789;0.835;0.449;0.576;9.48;9.96;630.36;881.30
"Glória (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;72.36;75.48;18.20;12.10;0.662;0.733;0.728;0.775;0.789;0.841;0.504;0.605;9.59;10.01;740.77;994.49
"Humaitá / Navegantes (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;73.17;76.22;16.80;11.20;0.693;0.765;0.754;0.807;0.803;0.854;0.550;0.649;9.90;10.29;870.66;1216.93
"Ilhas (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;69.74;73.27;23.20;15.20;0.528;0.659;0.623;0.705;0.746;0.805;0.316;0.504;8.65;11.09;387.03;642.58
"Leste (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;74.07;77.42;15.30;9.70;0.713;0.777;0.796;0.831;0.818;0.874;0.557;0.646;10.01;10.26;1135.03;1409.81
"Lomba do Pinheiro (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;70.25;73.35;22.20;15.10;0.586;0.683;0.648;0.691;0.754;0.806;0.412;0.571;9.14;8.81;452.27;590.83
"Nordeste (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;68.28;71.67;26.40;17.70;0.511;0.638;0.598;0.655;0.721;0.778;0.309;0.509;8.11;8.44;330.08;469.88
"Noroeste (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;76.59;79.80;11.60;7.20;0.840;0.890;0.880;0.921;0.860;0.913;0.783;0.837;11.85;11.30;1907.87;2470.49
"Norte (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;72.22;74.95;18.40;12.80;0.648;0.729;0.691;0.750;0.787;0.833;0.501;0.620;9.89;9.98;590.70;852.07
"Partenon (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;73.62;76.04;16.00;11.40;0.698;0.764;0.770;0.795;0.810;0.851;0.545;0.659;10.24;9.82;962.68;1127.81
"Restinga (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;70.29;73.18;22.10;15.30;0.595;0.685;0.652;0.705;0.755;0.803;0.427;0.567;9.34;8.74;461.15;644.32
"Sul (Porto Alegre . RM Porto Alegre)";"Regional Divisions";--;75.62;78.50;13.00;8.50;0.783;0.843;0.860;0.897;0.844;0.892;0.662;0.750;10.95;10.19;1692.40;2127.79
"RPA 1 ( Centro ) (Recife . RM Recife)";"Regional Divisions";--;70.17;73.75;35.60;18.73;0.640;0.743;0.720;0.758;0.753;0.813;0.483;0.665;8.33;9.34;705.01;892.79
"RPA 2 ( Norte ) (Recife . RM Recife)";"Regional Divisions";--;69.93;73.38;36.30;19.53;0.623;0.726;0.669;0.716;0.749;0.806;0.483;0.663;8.74;9.73;513.85;689.13
"RPA 3 ( Noroeste ) (Recife . RM Recife)";"Regional Divisions";--;71.08;74.45;32.80;17.21;0.677;0.786;0.757;0.837;0.768;0.824;0.533;0.703;9.06;9.97;890.48;1458.11
"RPA 4 ( Oeste ) (Recife . RM Recife)";"Regional Divisions";--;70.86;75.52;33.50;14.89;0.680;0.780;0.730;0.782;0.764;0.842;0.563;0.720;9.33;10.00;749.58;1037.03
"RPA 5 ( Sudoeste ) (Recife . RM Recife)";"Regional Divisions";--;69.79;73.94;36.70;18.32;0.635;0.723;0.652;0.695;0.747;0.816;0.525;0.667;9.12;9.62;463.08;603.36
"RPA 6 ( Sul ) (Recife . RM Recife)";"Regional Divisions";--;72.03;75.67;30.20;14.56;0.709;0.808;0.791;0.856;0.784;0.845;0.575;0.729;9.33;10.05;1101.75;1650.30
"Justinópolis (Ribeirão das Neves . RM Belo Horizonte)";"Regional Divisions";--;68.50;72.50;32.50;19.50;0.575;0.675;0.594;0.657;0.725;0.792;0.442;0.591;9.40;9.30;322.46;478.61
"Sede (Ribeirão das Neves . RM Belo Horizonte)";"Regional Divisions";--;68.77;73.18;31.80;18.30;0.560;0.686;0.597;0.668;0.730;0.803;0.403;0.603;9.43;9.50;327.82;510.48
"Veneza ( 040 ) (Ribeirão das Neves . RM Belo Horizonte)";"Regional Divisions";--;67.95;71.68;34.10;21.00;0.541;0.661;0.580;0.646;0.716;0.778;0.381;0.575;8.81;9.20;295.11;445.88
"Barra / Jacarepaguá (Rio de Janeiro . RM do Rio de Janeiro)";"Regional Divisions";--;74.52;78.25;17.90;10.00;0.760;0.835;0.851;0.900;0.825;0.888;0.626;0.729;9.53;9.85;1596.64;2165.44
"Centro (Rio de Janeiro . RM do Rio de Janeiro)";"Regional Divisions";--;73.00;76.32;20.70;12.30;0.700;0.760;0.760;0.785;0.800;0.855;0.564;0.653;9.03;9.08;905.32;1059.27
"Grande Tijuca (Rio de Janeiro . RM do Rio de Janeiro)";"Regional Divisions";--;75.55;79.22;16.20;9.00;0.828;0.885;0.900;0.937;0.843;0.904;0.748;0.818;10.34;10.48;2159.97;2724.92
"Ilha do Governador (Rio de Janeiro . RM do Rio de Janeiro)";"Regional Divisions";--;73.71;77.37;19.40;11.10;0.755;0.818;0.807;0.830;0.812;0.873;0.656;0.756;9.92;9.96;1215.44;1397.59
"Maré (Rio de Janeiro . RM do Rio de Janeiro)";"Regional Divisions";--;69.50;73.25;28.10;16.60;0.562;0.674;0.623;0.661;0.742;0.804;0.385;0.575;7.55;8.66;385.75;489.79
"Meier (Rio de Janeiro . RM do Rio de Janeiro)";"Regional Divisions";--;73.88;77.80;19.10;10.50;0.769;0.833;0.809;0.836;0.815;0.880;0.690;0.787;10.16;10.15;1225.66;1450.37
"Pavuna (Rio de Janeiro . RM do Rio de Janeiro)";"Regional Divisions";--;70.51;73.76;25.80;15.80;0.641;0.721;0.666;0.698;0.759;0.813;0.521;0.660;8.81;9.06;504.81;616.34
"Vigário (Rio de Janeiro . RM do Rio de Janeiro)";"Regional Divisions";--;72.60;75.87;21.50;12.90;0.696;0.762;0.733;0.754;0.793;0.848;0.580;0.692;9.43;9.49;766.84;870.62
"Zona Norte (Rio de Janeiro . RM do Rio de Janeiro)";"Regional Divisions";--;72.40;76.05;21.90;12.70;0.701;0.771;0.727;0.754;0.790;0.851;0.599;0.713;9.64;9.82;738.43;873.45
"Zona Oeste (Rio de Janeiro . RM do Rio de Janeiro)";"Regional Divisions";--;71.26;74.49;24.20;14.80;0.661;0.742;0.686;0.723;0.771;0.825;0.545;0.686;9.31;9.53;569.81;717.80
"Zona Sul (Rio de Janeiro . RM do Rio de Janeiro)";"Regional Divisions";--;76.51;79.86;14.60;8.30;0.843;0.901;0.963;1.000;0.859;0.914;0.724;0.801;9.95;10.01;3201.69;4075.29
"Carvalho de Brito (Sabará . RM Belo Horizonte)";"Regional Divisions";--;70.32;74.82;27.80;15.60;0.608;0.723;0.632;0.695;0.755;0.830;0.472;0.654;9.22;9.30;407.93;604.20
"Sede (Sabará . RM Belo Horizonte)";"Regional Divisions";--;71.77;75.51;24.40;14.60;0.644;0.745;0.652;0.705;0.780;0.842;0.525;0.697;9.64;9.78;461.35;644.59
"Av. das Indústrias (Santa Luzia . RM Belo Horizonte)";"Regional Divisions";--;72.38;75.85;23.00;14.00;0.648;0.733;0.657;0.715;0.790;0.848;0.524;0.649;10.16;9.98;478.11;683.03
"São Benedito (Santa Luzia . RM Belo Horizonte)";"Regional Divisions";--;69.70;73.06;29.30;18.50;0.588;0.691;0.610;0.667;0.745;0.801;0.447;0.618;9.45;10.22;355.23;508.26
"Sede (Santa Luzia . RM Belo Horizonte)";"Regional Divisions";--;70.92;75.17;26.30;15.10;0.615;0.716;0.641;0.698;0.765;0.836;0.475;0.629;9.58;9.76;431.97;615.61
"Aricanduva / Vila Formosa (São Paulo . RM São Paulo)";"Regional Divisions";--;74.49;78.20;15.40;10.30;0.762;0.822;0.804;0.831;0.825;0.887;0.668;0.754;11.10;10.91;1193.39;1411.11
"Butantã (São Paulo . RM São Paulo)";"Regional Divisions";--;75.53;79.70;13.80;8.50;0.789;0.859;0.876;0.932;0.842;0.912;0.665;0.746;10.32;10.15;1866.56;2634.84
"Campo Limpo (São Paulo . RM São Paulo)";"Regional Divisions";--;74.37;78.00;15.60;10.50;0.699;0.783;0.760;0.810;0.823;0.883;0.546;0.670;9.80;10.06;906.33;1236.35
"Capela do Socorro (São Paulo . RM São Paulo)";"Regional Divisions";--;70.97;75.22;21.60;14.40;0.656;0.750;0.707;0.745;0.766;0.837;0.521;0.677;9.70;10.45;653.05;824.23
"Casa Verde (São Paulo . RM São Paulo)";"Regional Divisions";--;74.59;77.95;15.20;10.60;0.732;0.799;0.769;0.792;0.827;0.883;0.616;0.730;10.18;10.55;957.39;1104.70
"Cidade Ademar (São Paulo . RM São Paulo)";"Regional Divisions";--;71.23;76.62;21.10;12.40;0.662;0.758;0.714;0.771;0.771;0.860;0.526;0.658;9.82;10.00;679.31;971.76
"Cidade Tiradentes (São Paulo . RM São Paulo)";"Regional Divisions";--;69.06;72.87;25.50;18.20;0.634;0.708;0.645;0.670;0.734;0.798;0.538;0.664;9.82;9.73;442.20;516.64
"Ermelino Matarazzo (São Paulo . RM São Paulo)";"Regional Divisions";--;72.02;75.97;19.60;13.30;0.707;0.777;0.730;0.747;0.784;0.850;0.617;0.738;10.49;10.88;752.05;837.54
"Freguesia do Ó / Brasilândia (São Paulo . RM São Paulo)";"Regional Divisions";--;71.75;76.22;20.10;12.90;0.677;0.762;0.724;0.748;0.779;0.854;0.551;0.692;9.77;10.54;722.29;840.72
"Guaianases (São Paulo . RM São Paulo)";"Regional Divisions";--;69.52;73.39;24.60;17.30;0.621;0.713;0.650;0.681;0.742;0.807;0.496;0.660;9.99;10.31;457.22;554.23
"Ipiranga (São Paulo . RM São Paulo)";"Regional Divisions";--;75.02;78.33;14.60;10.10;0.759;0.824;0.814;0.839;0.834;0.889;0.645;0.750;10.54;10.84;1266.19;1482.28
"Itaim Paulista (São Paulo . RM São Paulo)";"Regional Divisions";--;69.75;73.45;24.10;17.20;0.639;0.725;0.656;0.691;0.746;0.808;0.534;0.683;10.37;10.18;474.77;587.95
"Itaquera (São Paulo . RM São Paulo)";"Regional Divisions";--;71.49;75.08;20.60;14.60;0.691;0.758;0.714;0.737;0.775;0.835;0.596;0.709;10.36;10.52;680.18;784.72
"Jabaquara (São Paulo . RM São Paulo)";"Regional Divisions";--;75.08;78.51;14.50;9.90;0.756;0.816;0.819;0.845;0.835;0.892;0.633;0.720;10.37;10.46;1308.99;1539.14
"Jaçanã / Tremembé (São Paulo . RM São Paulo)";"Regional Divisions";--;74.38;76.36;15.60;12.70;0.716;0.768;0.766;0.758;0.823;0.856;0.583;0.699;9.84;10.04;940.36;892.54
"Lapa (São Paulo . RM São Paulo)";"Regional Divisions";--;76.59;80.40;12.30;7.70;0.849;0.906;0.934;0.976;0.860;0.923;0.763;0.826;11.09;11.33;2670.35;3468.59
"M’Boi Mirim (São Paulo . RM São Paulo)";"Regional Divisions";--;70.72;73.77;22.10;16.70;0.638;0.716;0.683;0.700;0.762;0.813;0.499;0.646;9.48;9.83;561.43;624.23
"Mooca (São Paulo . RM São Paulo)";"Regional Divisions";--;75.46;79.53;13.90;8.70;0.811;0.869;0.871;0.907;0.841;0.909;0.727;0.797;11.27;11.09;1804.57;2262.48
"Parelheiros (São Paulo . RM São Paulo)";"Regional Divisions";--;69.29;71.58;25.00;20.60;0.593;0.680;0.649;0.664;0.738;0.776;0.436;0.610;9.47;9.80;453.94;499.68
"Penha (São Paulo . RM São Paulo)";"Regional Divisions";--;74.39;77.77;15.60;10.80;0.745;0.804;0.767;0.786;0.823;0.880;0.656;0.750;10.83;10.91;943.56;1064.38
"Perus (São Paulo . RM São Paulo)";"Regional Divisions";--;69.99;73.72;23.60;16.80;0.637;0.731;0.670;0.698;0.750;0.812;0.515;0.689;9.67;10.35;516.30;615.08
"Pinheiros (São Paulo . RM São Paulo)";"Regional Divisions";--;78.14;81.74;10.20;6.30;0.910;0.942;1.000;1.000;0.886;0.946;0.851;0.885;11.58;11.69;4806.39;6125.59
"Pirituba / Jaraguá (São Paulo . RM São Paulo)";"Regional Divisions";--;74.38;77.17;15.60;11.60;0.718;0.787;0.751;0.774;0.823;0.870;0.598;0.724;10.29;10.71;855.74;989.02
"Santana / Tucuruvi (São Paulo . RM São Paulo)";"Regional Divisions";--;75.21;79.19;14.30;9.10;0.811;0.869;0.866;0.898;0.837;0.903;0.736;0.810;11.33;11.47;1749.32;2134.88
"Santo Amaro (São Paulo . RM São Paulo)";"Regional Divisions";--;76.96;80.53;11.80;7.60;0.867;0.909;0.948;0.986;0.866;0.926;0.794;0.822;11.31;11.23;2922.24;3688.01
"São Mateus (São Paulo . RM São Paulo)";"Regional Divisions";--;70.48;74.37;22.60;15.70;0.658;0.732;0.681;0.712;0.758;0.823;0.553;0.668;10.26;10.18;552.87;673.75
"São Miguel Paulista (São Paulo . RM São Paulo)";"Regional Divisions";--;70.23;74.30;23.10;15.80;0.650;0.736;0.678;0.705;0.754;0.822;0.537;0.687;10.04;10.66;543.62;641.58
"Sé (São Paulo . RM São Paulo)";"Regional Divisions";--;76.23;80.33;12.80;7.80;0.831;0.889;0.931;0.947;0.854;0.922;0.721;0.805;10.49;10.83;2628.91;2894.76
"Vila Mariana (São Paulo . RM São Paulo)";"Regional Divisions";--;77.74;81.35;10.70;6.70;0.897;0.938;0.984;1.000;0.879;0.939;0.834;0.878;11.59;11.87;3653.98;5065.00
"Vila Maria / Vila Guilherme (São Paulo . RM São Paulo)";"Regional Divisions";--;74.38;77.88;15.60;10.70;0.733;0.793;0.768;0.787;0.823;0.881;0.624;0.718;10.53;10.37;950.69;1072.66
"Vila Prudente (São Paulo . RM São Paulo)";"Regional Divisions";--;74.38;77.02;15.60;11.80;0.723;0.785;0.745;0.773;0.823;0.867;0.617;0.721;10.45;10.56;826.22;980.34
"Sede (Vespasiano . RM Belo Horizonte)";"Regional Divisions";--;73.70;76.75;20.20;12.80;0.694;0.762;0.699;0.736;0.812;0.863;0.589;0.696;9.95;9.51;621.49;778.97
"Vila Esportiva (Vespasiano . RM Belo Horizonte)";"Regional Divisions";--;67.71;71.96;34.80;20.40;0.551;0.655;0.578;0.649;0.712;0.783;0.406;0.554;8.90;8.61;292.25;453.50
"Bento Ferreira / Jucutuquara (Vitória . RM Grande Vitória)";"Regional Divisions";--;72.30;76.26;22.10;12.40;0.729;0.804;0.781;0.814;0.788;0.854;0.630;0.747;9.99;10.12;1032.95;1269.35
"Centro (Vitória . RM Grande Vitória)";"Regional Divisions";--;74.20;78.57;18.50;9.70;0.788;0.841;0.825;0.851;0.820;0.893;0.722;0.784;10.76;10.68;1356.93;1595.45
"Continente (Vitória . RM Grande Vitória)";"Regional Divisions";--;75.40;79.69;16.40;8.50;0.849;0.907;0.873;0.918;0.840;0.912;0.834;0.891;11.47;11.27;1824.14;2421.34
"Maruípe (Vitória . RM Grande Vitória)";"Regional Divisions";--;71.69;75.63;23.30;13.20;0.694;0.771;0.697;0.742;0.778;0.844;0.616;0.731;10.17;9.69;613.07;811.31
"Praia do Canto (Vitória . RM Grande Vitória)";"Regional Divisions";--;76.61;80.77;14.40;7.40;0.893;0.949;0.966;1.000;0.860;0.930;0.856;0.919;11.56;11.44;3255.88;5125.27
"Santo Antônio (Vitória . RM Grande Vitória)";"Regional Divisions";--;71.50;74.67;23.70;14.50;0.674;0.757;0.676;0.716;0.775;0.828;0.585;0.731;10.07;9.58;536.17;688.07
"São Pedro (Vitória . RM Grande Vitória)";"Regional Divisions";--;69.18;72.25;28.90;18.10;0.578;0.700;0.584;0.660;0.736;0.788;0.449;0.659;9.38;9.52;303.18;486.24

